URL_Length,Num_Dots,Num_Hyphens,Num_Special_Chars,Num_Subdomains,Has_IP_Address,Has_HTTPS,Domain_Age_Days,Domain_Registration_Length,Has_Suspicious_Words,Num_Redirects,External_Link_Ratio,Image_Link_Ratio,Form_Count,Password_Field_Present,Iframe_Count,Popup_Count,Favicon_External,Domain_Name_Length,URL_Entropy,Is_Phishing
98.0,2.0,3.0,4.0,2,0,1,160.0,540.0,1,7,0.466,0.603,8,1,3,1,1,51.0,3.746,1
18.0,3.0,1.0,1.0,1,0,1,1830.0,495.0,0,3,0.429,0.161,2,1,0,2,0,12.0,4.152,0
70.0,6.0,0.0,1.0,2,1,1,1.0,404.0,0,4,0.166,0.299,4,0,3,3,1,39.0,5.152,1
96.0,6.0,5.0,7.0,4,0,1,366.0,292.0,1,3,0.324,0.482,5,1,7,1,0,50.0,4.516,1
117.0,3.0,2.0,8.0,2,1,0,162.0,325.0,1,2,0.511,0.493,7,1,3,1,0,35.0,4.741,1
50.0,2.0,1.0,4.0,1,0,1,2534.0,673.0,0,1,0.38,0.274,3,0,1,0,0,21.0,3.184,0
65.0,1.0,0.0,3.0,1,0,1,1874.0,636.0,0,0,0.289,0.215,3,1,2,0,0,4.0,3.679,0
33.0,3.0,0.0,3.0,1,0,1,319.0,288.0,0,1,0.093,0.197,3,0,2,1,1,14.0,3.522,0
29.0,1.0,1.0,3.0,1,0,1,2719.0,625.0,0,0,0.239,0.178,3,1,2,1,0,14.0,3.591,0
48.0,1.0,1.0,0.0,1,0,1,186.0,717.0,0,2,0.073,0.125,2,0,1,0,0,18.0,4.011,0
32.0,3.0,2.0,2.0,2,0,1,1759.0,864.0,0,2,0.476,0.396,1,0,0,1,0,12.0,3.184,0
126.0,3.0,3.0,12.0,2,0,0,152.0,222.0,1,3,0.801,0.65,4,0,1,4,1,31.0,4.617,1
38.0,1.0,1.0,0.0,1,0,1,1908.0,483.0,0,1,0.302,0.168,0,0,4,0,0,19.0,3.045,0
57.0,3.0,1.0,5.0,1,0,1,1481.0,756.0,0,2,0.102,0.298,1,0,1,1,0,7.0,3.968,0
49.0,1.0,2.0,2.0,1,0,1,1645.0,946.0,0,1,0.079,0.239,2,0,1,0,0,13.0,3.745,0
42.0,3.0,0.0,2.0,1,0,1,662.0,973.0,1,0,0.141,0.192,1,0,2,0,0,12.0,4.255,0
46.0,3.0,2.0,6.0,1,0,1,1952.0,1397.0,0,0,0.231,0.18,1,1,3,1,0,17.0,2.936,0
23.0,2.0,1.0,2.0,0,0,1,1824.0,891.0,0,4,0.282,0.202,2,0,2,1,0,17.0,2.704,0
34.0,1.0,0.0,1.0,1,0,1,799.0,462.0,0,1,0.154,0.117,3,0,0,0,0,18.0,3.184,0
93.0,5.0,1.0,0.0,6,0,0,78.0,441.0,1,8,0.394,0.294,4,1,4,1,0,13.0,5.69,1
21.0,,4.0,4.0,3,0,0,106.0,382.0,1,3,0.476,0.633,2,0,4,1,1,16.0,5.37,1
56.0,4.0,2.0,14.0,1,0,1,1.0,361.0,0,5,0.451,0.301,6,0,6,3,1,44.0,3.855,1
33.0,2.0,0.0,1.0,2,0,1,2171.0,907.0,0,0,0.339,0.078,2,0,1,0,0,14.0,3.042,0
32.0,3.0,1.0,5.0,1,0,1,1703.0,1791.0,0,1,0.218,0.185,1,0,1,0,0,11.0,3.081,0
39.0,1.0,3.0,1.0,0,0,1,2018.0,818.0,0,1,0.087,0.246,3,0,1,0,1,15.0,3.684,0
54.0,2.0,0.0,3.0,0,1,1,2291.0,1345.0,0,0,0.409,0.168,2,0,1,0,0,7.0,3.226,0
,3.0,0.0,2.0,0,0,1,1279.0,990.0,0,0,0.239,0.101,2,0,1,0,0,16.0,2.936,0
68.0,1.0,0.0,1.0,1,0,1,1200.0,556.0,0,2,0.225,0.157,2,1,2,1,0,9.0,3.558,0
31.0,1.0,0.0,3.0,1,0,1,1168.0,906.0,0,1,0.24,0.191,1,1,1,0,0,22.0,3.279,0
61.0,2.0,3.0,0.0,2,0,1,1736.0,563.0,0,2,0.27,0.121,2,0,2,0,0,10.0,4.099,0
68.0,4.0,4.0,0.0,2,1,0,605.0,368.0,1,4,0.41,0.432,7,1,0,2,0,13.0,6.661,1
42.0,3.0,1.0,1.0,4,0,1,327.0,466.0,1,5,0.334,0.479,3,1,3,1,0,19.0,4.097,1
14.0,3.0,0.0,1.0,2,0,1,3673.0,1202.0,1,1,0.177,0.35,2,1,2,1,0,16.0,3.534,0
36.0,1.0,0.0,3.0,1,0,1,1743.0,88.0,0,2,0.335,0.114,1,0,1,1,0,5.0,3.321,0
84.0,5.0,4.0,3.0,2,0,1,506.0,250.0,1,4,0.514,0.138,3,0,3,2,1,39.0,4.334,1
83.0,5.0,3.0,3.0,1,0,1,74.0,378.0,1,5,0.527,0.592,1,0,1,3,1,23.0,4.457,1
48.0,3.0,4.0,5.0,6,0,1,,192.0,1,3,0.895,0.283,2,1,1,3,0,43.0,5.045,1
39.0,7.0,5.0,6.0,3,0,0,334.0,87.0,1,3,0.421,0.348,8,1,3,1,1,29.0,5.451,1
96.0,2.0,2.0,16.0,3,0,1,277.0,277.0,1,6,0.734,0.58,5,1,3,1,0,7.0,5.399,1
50.0,2.0,1.0,3.0,2,1,1,2222.0,1125.0,0,0,0.39,0.0,3,0,2,1,0,17.0,3.497,0
45.0,2.0,1.0,5.0,0,0,1,2551.0,611.0,1,1,0.212,0.306,3,0,1,3,1,13.0,3.896,0
35.0,1.0,3.0,7.0,0,0,1,560.0,282.0,0,1,0.358,0.288,1,1,1,0,0,19.0,3.354,0
73.0,3.0,3.0,,4,1,1,375.0,433.0,0,4,0.437,0.15,3,1,2,2,0,37.0,3.802,1
,2.0,2.0,2.0,0,0,1,1674.0,753.0,1,1,0.169,0.203,1,1,0,0,0,19.0,2.422,0
61.0,6.0,3.0,11.0,4,0,1,39.0,309.0,1,6,0.68,0.41,7,1,4,2,0,37.0,4.748,1
55.0,1.0,0.0,4.0,2,0,1,1443.0,491.0,0,0,0.331,0.126,1,0,0,0,0,23.0,3.682,0
84.0,3.0,0.0,11.0,3,1,1,135.0,30.0,0,7,0.594,0.573,5,1,5,4,0,11.0,4.032,1
85.0,4.0,5.0,15.0,2,0,1,17.0,137.0,1,5,0.637,0.498,3,0,1,2,0,30.0,4.749,1
63.0,2.0,1.0,6.0,2,0,1,1632.0,1095.0,0,1,0.399,0.261,0,1,1,0,0,18.0,3.379,0
38.0,1.0,1.0,6.0,1,0,1,2404.0,826.0,0,3,0.24,0.319,1,0,1,1,0,19.0,3.728,0
108.0,5.0,5.0,10.0,4,0,1,64.0,64.0,1,3,0.576,0.32,5,0,0,2,1,29.0,5.869,1
70.0,2.0,0.0,2.0,2,0,0,1398.0,492.0,0,2,0.174,,2,0,0,0,0,19.0,3.576,0
39.0,1.0,1.0,7.0,1,0,1,2507.0,858.0,0,1,0.463,0.028,1,0,2,0,0,7.0,3.3,0
34.0,2.0,3.0,1.0,1,0,1,1426.0,1164.0,0,2,0.217,0.137,2,0,0,0,0,13.0,3.918,0
44.0,2.0,1.0,0.0,2,0,1,1799.0,719.0,0,3,0.167,0.303,4,0,1,0,0,20.0,4.563,0
57.0,4.0,0.0,5.0,1,0,1,3212.0,371.0,0,1,0.207,0.227,3,0,2,0,0,12.0,2.912,0
73.0,3.0,5.0,10.0,3,1,1,190.0,171.0,1,5,0.538,0.533,1,1,0,2,0,22.0,4.791,1
47.0,1.0,3.0,9.0,2,0,1,2737.0,307.0,0,0,0.213,0.199,4,0,1,0,1,18.0,6.773413131941293,0
37.0,1.0,1.0,3.0,3,0,1,836.0,,0,3,0.142,0.306,2,0,2,2,0,14.0,4.022,0
34.0,5.0,1.0,1.0,0,0,1,1633.0,686.0,0,1,0.246,0.046,3,0,3,0,0,12.0,2.963,0
64.0,3.0,0.0,7.0,2,0,1,2135.0,1175.0,0,1,0.087,0.134,2,1,2,0,0,23.0,3.448,0
63.0,3.0,2.0,15.0,4,0,1,79.0,704.0,0,4,0.658,0.338,3,1,2,2,1,30.0,4.473,1
57.0,2.0,2.0,3.0,1,0,1,2073.0,1161.0,0,2,0.222,0.124,2,0,0,0,0,12.0,4.214,0
90.0,3.0,3.0,17.0,3,1,1,302.0,30.0,1,3,0.86,0.575,5,1,1,3,0,24.0,6.024,1
76.0,1.0,3.0,18.0,3,0,1,312.0,67.0,1,4,0.696,0.208,7,1,0,0,0,33.0,4.821,1
53.0,2.0,1.0,3.0,2,0,1,1542.0,1136.0,0,1,0.375,0.282,1,0,2,1,0,16.0,3.514,0
70.0,2.0,2.0,0.0,1,0,1,3285.0,822.0,0,1,0.324,0.008,2,0,2,0,0,17.0,3.779,1
54.0,2.0,1.0,2.0,1,0,1,2537.0,1269.0,0,0,0.271,0.118,1,0,1,1,0,13.0,2.819,0
90.0,4.0,1.0,2.0,4,0,1,91.0,30.0,1,3,0.366,0.404,4,1,2,3,1,27.0,4.853,1
141.0,5.0,2.0,0.0,2,0,1,296.0,315.0,0,2,0.621,,3,0,3,4,1,12.0,3.73,1
46.0,3.0,1.0,2.0,1,0,1,1931.0,1090.0,0,2,0.241,0.257,2,1,1,0,0,7.0,3.948,0
105.0,3.0,1.0,8.0,3,0,0,600.0,613.0,0,7,0.932,0.633,6,1,4,5,0,29.0,4.97,1
30.0,4.0,0.0,5.0,2,0,1,1874.0,915.0,0,2,0.049,0.13,2,0,1,0,0,20.0,3.131,0
87.0,5.0,1.0,3.0,0,0,0,465.0,348.0,0,3,0.732,0.105,2,1,0,3,1,12.0,5.22,1
50.0,2.0,1.0,8.0,2,0,1,122.0,560.0,1,1,0.685,0.838,3,1,4,2,1,31.0,4.592,1
49.0,2.0,0.0,7.0,2,0,1,1622.0,955.0,0,0,0.422,0.203,3,1,0,0,0,15.0,3.538,0
61.0,4.0,0.0,5.0,1,0,1,2594.0,624.0,0,0,0.201,0.094,4,0,0,0,0,16.0,3.64,0
52.0,2.0,1.0,4.0,0,0,1,862.0,568.0,0,3,0.248,0.119,0,0,0,0,0,26.0,3.63,0
67.0,4.0,3.0,12.0,5,1,0,88.0,467.0,1,4,0.668,0.539,7,0,3,2,1,36.0,4.07,1
55.0,,1.0,4.0,1,0,1,2598.0,421.0,0,1,0.379,0.282,2,0,0,1,0,25.0,2.931,0
133.0,4.0,4.0,4.0,1,0,1,199.0,220.0,0,3,0.765,0.207,7,1,1,4,1,25.0,5.551,1
45.0,2.0,5.0,13.0,4,0,1,344.0,30.0,1,2,0.437,0.704,0,1,2,2,0,14.0,3.637,1
36.0,4.0,4.0,7.0,2,0,1,1.0,354.0,1,5,0.626,0.342,1,0,4,5,1,15.0,4.071,1
58.0,1.0,0.0,0.0,1,0,1,1972.0,339.0,0,1,0.047,0.166,2,0,1,0,0,9.0,2.948,0
45.0,2.0,0.0,5.0,2,0,1,1426.0,761.0,0,1,0.444,0.0,0,1,2,1,0,15.0,2.905,0
97.0,4.0,7.0,9.0,1,1,1,138.0,290.0,1,3,0.357,0.343,4,1,3,4,0,30.0,4.771,1
67.0,2.0,0.0,1.0,0,0,0,862.0,505.0,1,2,0.212,0.185,1,0,0,0,0,11.0,3.469,0
76.0,4.0,3.0,4.0,2,0,1,1.0,30.0,1,10,0.553,0.366,6,1,2,4,1,34.0,8.003285004829607,1
28.0,1.0,2.0,2.0,1,0,1,1764.0,172.0,0,0,0.231,0.293,1,1,4,0,0,14.0,3.738,0
55.0,2.0,0.0,2.0,1,0,1,1775.0,739.0,0,0,0.268,0.201,0,0,1,0,0,14.0,3.284,0
55.0,2.0,0.0,2.0,0,0,1,1783.0,947.0,0,3,0.286,0.203,0,0,3,0,1,9.0,3.302,0
45.0,1.0,0.0,4.0,1,0,1,1786.0,338.0,1,2,,0.212,1,1,1,0,0,18.0,3.391,0
45.0,3.0,1.0,2.0,2,0,1,1782.0,642.0,0,0,0.178,0.186,2,1,1,0,0,19.0,3.393,0
44.0,1.0,1.0,3.0,0,0,1,1073.0,777.0,0,2,0.289,0.329,1,1,0,0,0,13.0,3.506,0
52.0,4.0,4.0,2.0,4,0,1,255.0,254.0,1,3,0.499,0.406,4,0,1,5,1,8.0,5.366,1
,3.0,0.0,0.0,1,0,1,1887.0,857.0,0,1,0.23,0.218,2,1,0,0,0,7.0,2.965,0
37.0,5.0,5.0,17.0,3,1,0,217.0,410.0,1,5,0.453,0.633,5,1,2,2,1,15.0,3.81,1
81.0,2.0,4.0,7.0,3,1,1,118.0,356.0,1,4,0.844,0.429,6,1,4,9,1,24.0,4.829,1
92.0,1.0,1.0,0.0,2,0,1,1904.0,747.0,0,1,0.211,0.107,0,0,2,0,1,15.0,4.49,0
109.0,3.0,4.0,2.0,1,0,1,595.0,248.0,1,5,0.034,0.742,4,1,2,2,0,22.0,3.887,1
46.0,4.0,0.0,5.0,1,0,1,2390.0,665.0,0,2,0.382,0.166,4,0,1,0,0,8.0,3.967,0
55.0,2.0,1.0,5.0,1,0,1,1407.0,732.0,0,0,0.143,0.28,4,0,2,1,0,23.0,3.392,0
45.0,4.0,2.0,4.0,2,0,1,619.0,976.0,0,1,0.31,0.393,4,1,2,1,0,14.0,2.932,0
93.0,7.0,1.0,4.0,3,1,1,22.0,339.0,0,0,0.876,0.605,3,1,4,1,1,40.0,4.888,1
36.0,2.0,3.0,5.0,1,0,1,1651.0,958.0,0,0,0.14,0.18,3,1,0,0,0,12.0,3.389,0
34.0,1.0,0.0,4.0,2,0,1,568.0,659.0,0,0,0.026,0.262,1,1,2,0,1,8.0,3.791,0
106.0,4.0,5.0,9.0,1,1,1,1.0,480.0,0,7,0.348,0.804,2,1,4,2,0,17.0,4.265,1
100.0,4.0,0.0,6.0,4,0,1,1.0,299.0,1,3,0.486,0.216,3,0,6,2,1,42.0,4.887,1
15.0,1.0,1.0,5.0,0,0,1,2150.0,553.0,0,2,0.311,0.02,1,1,0,1,0,11.0,2.91,0
65.0,5.0,2.0,18.0,2,0,1,507.0,432.0,1,1,0.401,0.432,3,1,3,2,1,44.0,4.57,1
76.0,5.0,3.0,1.0,1,0,1,2813.0,767.0,1,2,0.258,0.067,2,0,0,0,0,13.0,2.357,0
33.0,3.0,0.0,4.0,0,0,1,1330.0,1121.0,0,1,0.342,0.26,2,0,1,0,0,9.0,3.941,0
51.0,2.0,1.0,0.0,1,0,1,2001.0,756.0,0,1,0.107,0.299,2,1,2,0,1,14.0,2.759,0
50.0,4.0,0.0,6.0,3,0,0,324.0,468.0,1,3,0.613,,8,1,3,3,0,25.0,4.879,1
63.0,1.0,0.0,6.0,2,0,1,797.0,896.0,0,1,0.291,0.0,1,0,1,1,0,8.0,3.612,0
30.0,1.0,2.0,5.0,2,0,1,1698.0,655.0,0,2,0.449,0.21,3,0,0,1,0,17.0,3.404,0
59.0,6.0,4.0,6.0,3,0,0,399.0,626.0,1,6,0.417,0.386,2,1,1,2,1,26.0,5.675,1
45.0,3.0,0.0,5.0,7,1,1,523.0,64.0,1,6,0.393,0.253,1,0,4,1,1,48.0,5.656,1
44.0,1.0,1.0,7.0,1,0,1,1988.0,849.0,0,2,0.373,0.106,1,0,0,0,0,10.0,2.814,0
22.0,2.0,0.0,4.0,1,0,1,1728.0,957.0,0,0,0.337,0.096,0,1,2,0,0,15.0,4.423,0
40.0,2.0,2.0,7.0,1,0,1,1512.0,1268.0,0,1,0.366,0.117,3,0,1,1,0,11.0,3.446,0
79.0,4.0,1.0,4.0,2,0,1,1756.0,942.0,0,1,0.196,0.295,2,0,1,0,0,10.0,3.734,0
34.0,3.0,1.0,1.0,1,0,1,792.0,599.0,0,1,0.343,0.091,2,1,1,0,0,16.0,3.421,0
35.0,3.0,2.0,2.0,2,0,1,1239.0,986.0,0,1,0.211,0.204,3,1,3,1,0,18.0,3.846,0
82.0,3.0,1.0,7.0,7,0,1,288.0,192.0,1,4,0.794,0.335,2,1,4,0,0,19.0,5.17,1
15.0,2.0,2.0,3.0,1,0,1,885.0,1003.0,0,1,0.376,0.297,2,0,2,1,0,20.0,2.699,0
39.0,3.0,0.0,3.0,1,0,1,2261.0,1290.0,0,2,0.489,0.096,2,0,0,1,0,12.0,4.37,0
62.0,2.0,2.0,1.0,0,0,1,1611.0,429.0,0,1,0.276,0.18,2,0,1,1,0,13.0,3.521,0
80.0,3.0,2.0,3.0,1,0,1,2360.0,1230.0,1,0,0.314,0.18,1,0,1,0,0,8.0,3.016,0
38.0,1.0,0.0,0.0,0,1,0,1696.0,932.0,0,3,0.12,0.143,4,0,1,2,0,11.0,2.902,0
45.0,2.0,2.0,1.0,0,0,1,2176.0,655.0,0,1,0.036,0.255,2,0,1,0,0,19.0,2.971,0
57.0,3.0,1.0,0.0,1,0,1,1601.0,542.0,0,1,0.312,0.211,1,0,1,0,0,14.0,3.159,0
34.0,1.0,1.0,6.0,0,0,1,1670.0,1134.0,0,1,0.171,0.14,2,0,3,0,0,24.0,3.089,0
47.0,1.0,2.0,1.0,0,0,1,1632.0,1200.0,0,0,0.18,0.151,3,0,3,1,0,8.0,3.415,0
16.0,3.0,0.0,2.0,1,0,1,1257.0,804.0,0,0,0.267,0.305,2,0,1,0,0,11.0,3.004,0
51.0,1.0,0.0,0.0,0,0,1,837.0,355.0,0,2,0.413,0.142,3,1,3,1,1,15.0,3.686,0
32.0,4.0,2.0,4.0,1,0,1,2460.0,1043.0,1,0,0.204,0.202,4,0,2,0,0,14.0,4.269,0
67.0,2.0,1.0,3.0,1,0,0,1504.0,1143.0,0,2,0.399,0.265,3,0,0,0,0,8.0,2.98,0
35.0,1.0,1.0,2.0,1,0,1,2663.0,777.0,0,0,0.52,0.183,5,1,3,0,1,15.0,3.495,0
60.0,2.0,0.0,0.0,1,0,1,1060.0,555.0,0,1,0.227,0.227,2,0,0,0,0,10.0,2.85,0
45.0,1.0,2.0,0.0,0,0,1,2781.0,169.0,0,0,0.157,0.211,2,0,0,1,0,13.0,2.998,0
71.0,1.0,1.0,5.0,2,0,1,2227.0,373.0,0,1,0.262,0.117,2,1,0,0,0,16.0,4.055,0
40.0,3.0,0.0,3.0,0,0,1,2352.0,878.0,1,2,0.512,0.167,3,0,5,0,0,11.0,3.63,0
10.0,5.0,2.0,11.0,3,1,1,372.0,376.0,1,4,0.603,0.797,0,1,2,5,0,11.0,4.702,1
186.0,5.0,5.0,5.0,3,1,0,129.0,183.0,1,6,0.64,0.679,5,0,5,1,0,32.0,5.581,1
68.0,3.0,3.0,8.0,5,0,1,288.0,474.0,1,4,0.716,0.263,4,1,2,0,1,14.0,4.28,1
76.0,3.0,4.0,6.0,0,0,1,206.0,240.0,1,5,0.629,0.412,3,1,3,1,0,25.0,5.192,1
33.0,2.0,3.0,1.0,0,1,1,979.0,1059.0,0,0,0.157,0.252,2,0,1,0,0,26.0,3.606,0
20.0,5.0,1.0,5.0,0,0,1,2072.0,1186.0,0,1,0.452,0.35,2,1,0,0,0,16.0,3.832,1
34.0,2.0,1.0,0.0,0,0,1,1.0,761.0,0,0,0.246,0.404,2,1,2,0,0,13.0,3.92,0
61.0,5.0,6.0,3.0,5,0,0,310.0,232.0,1,3,0.398,0.455,4,1,2,4,1,25.0,4.521,1
41.0,3.0,2.0,6.0,1,0,1,2221.0,914.0,0,0,0.267,0.087,4,0,1,0,0,7.0,4.235,0
68.0,3.0,2.0,15.162858864683834,0,0,0,275.0,466.0,1,4,0.212,0.753,5,0,1,3,0,11.0,4.204,1
74.0,3.0,2.0,,2,0,1,338.0,110.0,0,5,0.841,,3,1,4,4,1,24.0,10.117954977916034,1
46.0,2.0,1.0,5.0,0,0,1,2018.0,871.0,1,1,0.405,0.117,1,0,2,0,0,22.0,4.202,0
33.0,2.0,1.0,1.0,1,0,0,1655.0,935.0,0,1,0.103,0.256,1,1,1,0,0,11.0,2.402,0
41.0,1.0,1.0,3.0,2,0,1,1484.0,367.0,0,1,0.394,0.233,2,0,0,1,0,15.0,3.721,0
47.0,1.0,1.0,3.0,1,0,1,1556.0,817.0,0,1,0.122,0.074,1,1,0,0,1,10.0,3.687,0
99.0,2.0,2.0,13.0,2,0,0,383.0,393.0,0,3,1.0,0.444,2,0,3,1,0,26.0,5.142,1
46.0,2.0,1.0,3.0,1,0,1,1063.0,728.0,0,1,0.207,0.266,2,0,1,0,0,23.0,3.543,0
36.0,1.0,2.0,3.0,1,0,1,1384.0,705.0,0,1,0.336,0.174,1,1,2,0,0,7.0,3.281,0
62.0,1.0,6.0,3.0,5,0,1,145.0,299.0,1,9,0.492,0.439,4,1,4,1,1,38.0,4.581,1
54.0,4.0,1.0,5.0,1,0,1,1669.0,560.0,0,1,0.379,0.116,2,0,2,0,0,14.0,3.201,0
56.0,1.0,2.0,6.0,2,0,1,2281.0,1456.0,0,0,0.291,0.048,3,1,0,0,0,16.0,3.803,0
36.0,2.0,2.0,3.0,1,0,1,1379.0,836.0,0,0,0.29,0.004,2,0,1,2,0,11.0,3.9,0
35.0,1.0,1.0,3.0,0,0,1,974.0,714.0,0,0,0.111,0.146,1,0,0,1,1,16.0,2.687,0
61.0,3.0,1.0,5.0,1,0,1,1465.0,759.0,0,0,0.398,0.183,1,0,1,0,0,18.0,3.356,0
55.0,1.0,0.0,3.0,1,0,1,1135.0,604.0,0,0,0.249,0.253,2,0,0,1,0,9.0,2.527,0
58.0,2.0,1.0,2.0,2,0,1,1944.0,704.0,1,1,0.399,0.227,1,1,1,0,0,14.0,3.171,0
67.0,5.0,3.0,7.0,4,1,1,646.0,150.0,0,0,0.68,0.592,5,0,5,4,1,25.0,4.689,1
46.0,3.0,2.0,4.0,2,0,1,1729.0,741.0,0,1,0.124,0.055,2,1,3,0,0,17.0,3.208,0
101.0,5.0,2.0,12.0,5,0,1,320.0,455.0,0,1,0.689,0.655,7,1,2,5,0,42.0,3.86,1
49.0,2.0,1.0,2.0,2,0,1,2446.0,807.0,0,1,0.138,0.124,4,0,1,0,0,17.0,3.11,0
64.0,2.0,4.0,9.0,2,1,1,195.0,226.0,0,6,0.489,0.251,4,0,2,5,0,29.0,4.7,1
45.0,2.0,1.0,6.0,0,0,1,2242.0,1020.0,0,0,0.058,0.246,1,1,0,1,0,16.0,2.978,0
58.0,3.0,4.0,15.0,4,0,1,526.612617104949,254.0,1,7,0.821,0.449,2,1,5,2,1,20.0,6.033,1
121.0,3.0,3.0,2.0,4,0,1,482.0,321.0,1,5,0.164,0.204,5,1,1,5,0,25.0,,1
37.0,1.0,2.0,5.0,1,0,0,1094.0,561.0,0,1,0.148,0.123,3,0,0,0,0,33.0,3.135,0
39.0,4.0,2.0,2.0,1,0,1,1199.0,346.0,0,0,0.274,0.208,3,1,1,0,0,15.0,4.114,0
19.0,2.0,1.0,2.0,1,0,0,1052.0,740.0,0,0,0.137,0.231,2,1,2,2,0,8.0,3.715,0
110.0,4.0,4.0,11.0,1,0,1,385.0,225.0,1,4,0.54,0.231,2,1,5,1,0,14.0,5.108,1
39.0,2.0,3.0,1.0,2,0,1,1182.0,1597.0,0,3,0.126,0.193,1,0,2,0,1,10.0,,0
37.0,3.0,2.0,0.0,0,0,0,1357.0,1012.0,0,2,0.075,0.271,1,0,1,0,1,15.0,2.647,1
46.0,3.0,0.0,4.0,1,0,1,2575.0,859.0,0,1,0.297,0.187,4,0,0,0,0,17.0,,0
54.0,2.0,1.0,2.0,1,0,1,1667.0,685.0,0,1,0.177,0.116,1,0,1,0,1,15.0,3.36,0
35.0,3.0,1.0,5.0,0,0,1,987.0,656.0,0,2,0.335,0.386,3,0,0,0,0,17.0,4.235,0
53.0,4.0,4.0,20.0,4,0,1,588.0,185.0,1,5,0.383,0.71,3,1,4,6,1,24.0,4.091,1
74.0,7.0,1.0,4.0,4,0,1,154.0,507.0,1,4,0.873,0.498,2,1,4,2,1,33.0,4.914,1
35.0,4.0,0.0,3.0,1,0,1,2249.0,886.0,0,0,0.117,0.287,2,1,2,3,1,19.0,3.539,0
128.0,6.0,4.0,0.0,5,0,1,297.0,279.0,1,2,,0.714,5,0,3,1,1,12.0,4.751,1
51.0,3.0,7.0,16.0,2,0,1,129.0,134.0,1,4,0.637,0.598,6,0,4,3,1,25.0,4.369,1
49.0,2.0,0.0,4.0,1,1,1,1788.0,916.0,0,0,0.289,0.284,2,1,2,0,0,21.0,3.296,0
26.0,1.0,0.0,5.0,0,0,1,2606.0,855.0,1,2,0.179,0.097,3,0,1,0,0,3.0,3.83,0
74.0,2.0,1.0,3.0,2,0,1,952.0,860.0,0,2,0.216,0.131,0,0,2,0,0,18.0,2.824,0
54.0,3.0,4.0,9.0,3,0,1,302.0,499.0,1,3,0.627,0.693,4,1,7,2,1,19.0,3.79,1
41.0,2.0,1.0,3.0,1,0,1,1266.0,797.0,0,1,0.07,0.166,1,0,2,0,0,12.0,4.201,0
53.0,2.0,1.0,4.0,2,0,1,935.0,539.0,0,0,0.065,0.289,2,1,1,0,0,23.0,3.216,0
52.0,3.0,2.0,6.0,1,0,1,1799.0,782.0,0,2,0.512,0.042,3,1,2,0,0,17.0,3.383,0
31.0,1.0,0.0,2.0,2,0,1,1981.0,508.0,0,3,0.054,0.317,3,0,1,0,0,15.0,4.001,0
